"","P17_1","P17_2","P17_3"
"339","Variedad de tiendas para mi","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"340","Seguridad","Opciones de servicios (bancos, salud, servirtecas, etc)","Que no cobren el parqueadero"
"341","Variedad de tiendas para mi","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)"
"342","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"343","Precios","Ubicación","Variedad de tiendas para mi"
"344","Opciones de tiendas para toda la familia","Que sea de fácil acceso (cantidad de entradas y salidas)","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"345","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación","Seguridad"
"346","Ubicación","Precios","Variedad de tiendas para mi"
"347","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Seguridad","Ubicación"
"348","Ambiente en general (como se siente)","Variedad de tiendas para mi","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"349","Ambiente en general (como se siente)","Opciones de tiendas para toda la familia","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"350","Opciones de servicios (bancos, salud, servirtecas, etc)","Que realicen ferias y/o eventos de mi interés","Variedad de tiendas para mi"
